epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,120.588,0.63065,1.45114,2.77841,0.90489,0,0.00825,0.61431,0.59086,0.50295,0.00825,0.61431,0.59086,0.56931,0.36485,0.35688,2.87242,0.81568,0,0.00018,0.00018,0.00018
2,237.958,0.49397,0.33353,1.29612,0.8118,0,0.01335,1,0.99471,0.94768,0.01335,1,0.99471,0.94658,0.34171,0.31263,2.64439,0.79593,0,0.00034238,0.00034238,0.00034238
3,348.507,0.41255,0.29778,1.13438,0.78735,0,1,0.6863,0.995,0.90142,1,0.6863,0.995,0.93501,0.43535,0.3037,2.4361,0.80657,0,0.00046516,0.00046516,0.00046516
4,476.726,0.37401,0.2896,1.05891,0.78191,0,1,0.55456,0.995,0.91327,1,0.55456,0.995,0.95347,0.43669,0.26337,2.31004,0.79535,0,0.00054834,0.00054834,0.00054834
5,604.124,0.36546,0.26066,0.97957,0.79944,0,0.99537,1,0.995,0.91685,0.99537,1,0.995,0.93893,0.41465,0.25816,1.61634,0.7983,0,0.00059192,0.00059192,0.00059192
6,718.907,0.36076,0.2433,0.91832,0.78785,0,0.99732,1,0.995,0.9039,0.99732,1,0.995,0.96599,0.40878,0.22549,1.17846,0.79424,0,0.0005959,0.0005959,0.0005959
7,844.398,0.33038,0.24475,0.86787,0.78549,0,0.99832,1,0.995,0.93829,0.99832,1,0.995,0.96492,0.32851,0.25621,1.16619,0.78553,0,0.00056028,0.00056028,0.00056028
8,956.355,0.30089,0.24505,0.80775,0.80107,0,0.99885,1,0.995,0.96002,0.99885,1,0.995,0.97737,0.30159,0.22759,1.04337,0.78216,0,0.00048506,0.00048506,0.00048506
9,1069.96,0.2555,0.2364,0.76245,0.77983,0,0.99851,1,0.995,0.9832,0.99851,1,0.995,0.97455,0.26455,0.22673,0.92143,0.78129,0,0.00037024,0.00037024,0.00037024
10,1208.73,0.25195,0.23284,0.7409,0.77015,0,0.99882,1,0.995,0.98166,0.99882,1,0.995,0.97695,0.24025,0.2189,0.78775,0.78091,0,0.00021582,0.00021582,0.00021582
