epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,143.882,0.58909,1.48213,2.56023,0.91009,0,0.74295,0.55224,0.58325,0.52346,0.76303,0.56716,0.60767,0.54561,0.28287,0.38983,2.79431,0.79762,0,0.00018,0.00018,0.00018
2,249.12,0.48774,0.40885,1.08112,0.83195,0,1,0.37964,0.97481,0.91954,1,0.37964,0.97481,0.89912,0.3733,0.3926,2.705,0.81161,0,0.00036119,0.00036119,0.00036119
3,353.045,0.4309,0.354,0.88293,0.82217,0,0.08059,1,0.97226,0.84143,0.08059,1,0.97226,0.94712,0.4068,0.33251,2.67114,0.8169,0,0.00052258,0.00052258,0.00052258
4,457.722,0.45337,0.39607,0.88487,0.84009,0,1,0.45501,0.99441,0.86572,1,0.45501,0.99441,0.95231,0.51593,0.29515,2.55743,0.81631,0,0.00066417,0.00066417,0.00066417
5,562.401,0.43667,0.38645,0.86937,0.85032,0,0.99199,0.55224,0.71755,0.61296,0.99199,0.55224,0.71764,0.6435,0.50505,0.27173,2.24582,0.84737,0,0.00078596,0.00078596,0.00078596
6,666.436,0.41679,0.33181,0.81373,0.83317,0,1,0.84791,0.98544,0.86703,1,0.84791,0.98544,0.92004,0.4735,0.36945,1.75355,0.79941,0,0.00088795,0.00088795,0.00088795
7,769.978,0.43372,0.33748,0.72276,0.85251,0,1,0.98986,0.995,0.89668,1,0.98986,0.995,0.94929,0.42603,0.29171,1.50905,0.79721,0,0.00097014,0.00097014,0.00097014
8,873.54,0.39811,0.30295,0.69458,0.82441,0,1,0.97643,0.995,0.91128,1,0.97643,0.995,0.96941,0.34181,0.2917,1.22883,0.78575,0,0.00103253,0.00103253,0.00103253
9,977.874,0.42173,0.34589,0.70993,0.8455,0,0.99828,1,0.995,0.9069,0.99828,1,0.995,0.96169,0.38706,0.23525,0.99746,0.7999,0,0.00107512,0.00107512,0.00107512
10,1081.95,0.41343,0.31902,0.67478,0.83759,0,0.99648,1,0.995,0.91586,0.99648,1,0.995,0.9796,0.37528,0.32685,0.9566,0.79907,0,0.00109791,0.00109791,0.00109791
11,1181,0.31623,0.28056,0.87968,0.79893,0,0.99559,1,0.995,0.9373,0.99559,1,0.995,0.93391,0.33284,0.23321,1.06256,0.78645,0,0.00101,0.00101,0.00101
12,1279.62,0.31346,0.24218,0.78666,0.81593,0,0.99895,1,0.995,0.94555,0.99895,1,0.995,0.96757,0.30944,0.27576,0.77356,0.78547,0,0.000911,0.000911,0.000911
13,1377.92,0.30991,0.24793,0.73675,0.79471,0,0.99878,1,0.995,0.93949,0.99878,1,0.995,0.95948,0.35387,0.22838,0.8371,0.78854,0,0.000812,0.000812,0.000812
14,1476.19,0.30807,0.24538,0.74026,0.80623,0,0.99917,1,0.995,0.96395,0.99917,1,0.995,0.9758,0.27043,0.22643,0.65491,0.78901,0,0.000713,0.000713,0.000713
15,1574.63,0.26792,0.22409,0.68388,0.7887,0,0.9992,1,0.995,0.97754,0.9992,1,0.995,0.96913,0.29265,0.24021,0.64201,0.78977,0,0.000614,0.000614,0.000614
16,1672.57,0.26593,0.21304,0.65314,0.79132,0,0.99918,1,0.995,0.95097,0.99918,1,0.995,0.97358,0.24788,0.21658,0.60801,0.78761,0,0.000515,0.000515,0.000515
17,1770.41,0.22152,0.23883,0.62691,0.77658,0,0.99921,1,0.995,0.99145,0.99921,1,0.995,0.98192,0.20373,0.20796,0.52084,0.78597,0,0.000416,0.000416,0.000416
18,1869.45,0.22845,0.21077,0.5752,0.78889,0,0.99921,1,0.995,0.98753,0.99921,1,0.995,0.97498,0.22059,0.20748,0.49014,0.78718,0,0.000317,0.000317,0.000317
19,1967.38,0.20471,0.21871,0.55972,0.76063,0,0.9992,1,0.995,0.995,0.9992,1,0.995,0.97884,0.18542,0.21479,0.46287,0.78449,0,0.000218,0.000218,0.000218
20,2065.48,0.19142,0.2073,0.54741,0.77668,0,0.99919,1,0.995,0.995,0.99919,1,0.995,0.97744,0.16167,0.22008,0.4475,0.78325,0,0.000119,0.000119,0.000119
